point_estimate	std_error	z_score	p_value	SV_counts_cases	SV_counts_cases_max	number_of_cases_with_zero_SVs	total_cases	SV_counts_controls	SV_counts_controls_max	number_of_controls_with_zero_SVs	total_controls	number_of_unique_SVs	category_name
1.05974745857991	0.330527041	3.20623527616281	0.00134483981458616	14	1	758	772	33	2	4543	4575	68	DUP.SINGLETON.PREDICTED_NONCODING_SPAN.recombination_hotspot.ANY.ANY.expressed_in_muscle_skeletal.protein_coding
0.960923342574223	0.302618876	3.17535824359556	0.00149651620548492	17	2	734	750	31	2	4420	4449	29	DUP.RARE.ANY.ewing_H3K27Ac_peak.PREDICTED_INTERGENIC.ANY.ANY.cosmic_and_germline_CPGs
0.336099617836902	0.108014088	3.11162760395572	0.00186059043337133	107	3	674	772	440	3	4175	4575	245	ANY.RARE.PREDICTED_NONCODING_BREAKPOINT.fragile_site.ANY.ANY.ANY.cosmic_and_germline_CPGs
0.336099617836902	0.108014088	3.11162760395572	0.00186059043337133	107	3	674	772	440	3	4175	4575	245	ANY.RARE.ANY.fragile_site.ANY.ANY.ANY.cosmic_and_germline_CPGs
1.06272349335586	0.350310085	3.03366514085902	0.00241602438518001	14	2	733	746	22	2	4376	4397	16	DUP.RARE.PREDICTED_NONCODING_SPAN.ewing_H3K27Ac_peak.PREDICTED_INTERGENIC.ANY.ANY.cosmic_and_germline_CPGs
1.01243506202782	0.33385446	3.03256413596457	0.00242485562521278	15	2	736	750	25	2	4425	4449	20	DUP.RARE.PREDICTED_NONCODING_SPAN.ewing_H3K27Ac_peak.ANY.ANY.ANY.cosmic_and_germline_CPGs
0.897875540181331	0.297898161	3.01403518963425	0.00257797902332539	17	1	733	750	37	2	4414	4449	27	DUP.RARE.ANY.ewing_and_osteosarcoma_atac_peaks.ANY.ANY.expressed_in_muscle_skeletal.cosmic_and_germline_CPGs
0.532961334464163	0.179844458	2.96345709170623	0.00304204470059244	39	2	734	772	134	3	4449	4575	156	DUP.RARE.PREDICTED_NONCODING_SPAN.ewing_H3K27Ac_peak_conserved.ANY.ANY.ANY.protein_coding
0.912984575453568	0.308684421	2.95766327466707	0.00309980535411683	16	1	755	771	38	2	4537	4574	73	DUP.SINGLETON.PREDICTED_NONCODING_SPAN.ewing_and_osteosarcoma_atac_peaks.PREDICTED_INTRONIC.ANY.ANY.protein_coding
0.944469947233957	0.319484777	2.95622832518858	0.00311426454125734	15	1	735	750	28	2	4423	4449	21	DUP.RARE.ANY.ewing_H3K27Ac_peak.PREDICTED_INTERGENIC.ANY.expressed_in_muscle_skeletal.cosmic_and_germline_CPGs
0.824826953377701	0.281539783	2.92969947120298	0.00339289970760821	18	1	754	772	43	2	4535	4575	17	CPX_or_INV.RARE.PREDICTED_NONCODING_BREAKPOINT.ewing_H3K27Ac_peak.PREDICTED_INTRONIC.lof_constrained.expressed_in_muscle_skeletal.protein_coding
0.789263626282074	0.270962378	2.91281628138824	0.00358185265931775	20	1	752	772	59	2	4517	4575	118	DUP.SINGLETON.PREDICTED_NONCODING_SPAN.ewing_H3K27Ac_peak_conserved.ANY.ANY.ANY.protein_coding
0.979497810441049	0.337306052	2.9038844830482	0.00368564119330603	14	1	732	746	28	2	4369	4396	19	DUP.RARE.ANY.ewing_and_osteosarcoma_atac_peaks.PREDICTED_INTERGENIC.ANY.expressed_in_muscle_skeletal.cosmic_and_germline_CPGs
0.640487678830432	0.221794995	2.88774631199605	0.00388012676955813	28	2	724	750	81	2	4372	4450	67	ANY.RARE.PREDICTED_NONCODING_SPAN.ewing_and_osteosarcoma_atac_peaks.ANY.ANY.expressed_in_muscle_skeletal.cosmic_and_germline_CPGs
1.01973944172532	0.357162901	2.85511020005216	0.00430218982043241	13	1	734	747	22	2	4376	4397	13	DUP.RARE.PREDICTED_NONCODING_SPAN.ewing_H3K27Ac_peak.ANY.ANY.expressed_in_muscle_skeletal.cosmic_and_germline_CPGs
0.359597942911291	0.126053635	2.85273758992583	0.00433443973748625	85	2	691	772	316	2	4277	4575	189	DEL.RARE.ANY.ewing_and_osteosarcoma_tad_boundary_conserved.PREDICTED_INTRONIC.ANY.ANY.protein_coding
0.121795276875993	0.042753169	2.84880114678735	0.0043884299667627	601	5	378	772	3084	6	2481	4575	1600	DEL.RARE.ANY.ewing_and_osteosarcoma_tad_boundary.ANY.ANY.expressed_in_muscle_skeletal.protein_coding
0.361872865036742	0.12707318	2.84775170525158	0.00440292611688255	82	2	671	750	326	3	4143	4450	377	ANY.RARE.PREDICTED_NONCODING_SPAN.ewing_H3K27Ac_peak_conserved.PREDICTED_INTERGENIC.ANY.ANY.protein_coding
-0.265711773973463	0.081618042	-3.25555192776449	0.0011317219907485	164	3	607	750	1293	4	3382	4450	760	ANY.RARE.ANY.ewing_and_osteosarcoma_atac_peaks.ANY.lof_constrained.ANY.protein_coding
0.544504721864128	0.192182383	2.83327073670497	0.00460743449849548	38	1	734	772	141	2	4437	4575	239	DUP.SINGLETON.PREDICTED_NONCODING_SPAN.recombination_hotspot.ANY.ANY.ANY.protein_coding
0.794820283948908	0.2807818	2.83074004066114	0.00464404491925089	18	1	754	772	44	2	4534	4575	18	CPX_or_INV.RARE.ANY.ewing_H3K27Ac_peak.PREDICTED_INTRONIC.lof_constrained.expressed_in_muscle_skeletal.protein_coding
0.765178719683194	0.271854854	2.81465903008373	0.0048829011378849	20	2	753	772	47	2	4530	4575	40	DUP.RARE.ANY.ewing_and_osteosarcoma_atac_peaks.ANY.ANY.ANY.cosmic_and_germline_CPGs
0.789475447792459	0.280946753	2.81005364668678	0.00495332427548174	18	1	754	772	44	2	4534	4575	18	CPX_or_INV.RARE.PREDICTED_NONCODING_BREAKPOINT.ewing_H3K27Ac_peak.PREDICTED_INTRONIC.lof_constrained.ANY.protein_coding
0.271324213477287	0.096669782	2.80671175484069	0.00500500048449623	142	2	621	750	625	3	3877	4450	1083	ANY.SINGLETON.ANY.ewing_chromHMM15_Enh_conserved.ANY.ANY.ANY.protein_coding
0.844437433898489	0.302069477	2.79550731932604	0.00518183284105976	17	2	734	750	36	2	4414	4449	28	DUP.RARE.ANY.ewing_and_osteosarcoma_atac_peaks.PREDICTED_INTERGENIC.ANY.ANY.cosmic_and_germline_CPGs
1.04445125804848	0.374676343	2.78760929949742	0.00530985389796896	12	1	760	772	24	1	4551	4575	48	DUP.SINGLETON.PREDICTED_NONCODING_SPAN.ewing_H3K27Ac_peak.PREDICTED_INTRONIC.ANY.ANY.protein_coding
