point_estimate	std_error	z_score	p_value	SV_counts_cases	SV_counts_cases_max	number_of_cases_with_zero_SVs	total_cases	SV_counts_controls	SV_counts_controls_max	number_of_controls_with_zero_SVs	total_controls	number_of_unique_SVs	category_name
0.419762916628072	0.235865314578708	1.7796720869189	0.0751296411570855	20	2	667	685	99	2	4734	4827	106	DUP.RARE.PREDICTED_COPY_GAIN.lof_constrained.expressed_in_adrenal_gland.protein_coding
0.348524997664941	0.500903290166141	0.695792989399892	0.486558480288619	5	1	627	632	24	1	4661	4685	15	DUP.RARE.PREDICTED_COPY_GAIN.ANY.ANY.nucleotide_excision_repair_genes
0.457776294983474	0.297458415611912	1.5389589635303	0.123814314820118	13	2	624	636	57	2	4643	4698	48	DUP.RARE.PREDICTED_COPY_GAIN.ANY.ANY.signaling_transduction_by_receptor_tyrosine_kinases_genes
0.652867156274335	0.213741498451174	3.05447075558643	0.00225457994399249	29	2	658	686	107	1	4717	4824	39	DUP.RARE.PREDICTED_INTRAGENIC_EXON_DUP.lof_constrained.expressed_in_adrenal_gland.protein_coding
1.47952264214801	0.634167730861703	2.33301470596374	0.0196473734932918	4	1	626	630	7	1	4673	4680	12	DEL.SINGLETON.ANY.missense_constrained.ANY.dna_repair_genes
-0.197324763834156	0.755491013654758	-0.261187440045884	0.793947963434824	2	1	644	646	16	1	4683	4699	24	DEL.SINGLETON.ANY.missense_constrained.ANY.signaling_transduction_by_receptor_tyrosine_kinases_genes
0.213860920915424	0.143783745418389	1.4873789821869	0.136914744786947	58	1	588	646	348	2	4367	4699	539	DEL.SINGLETON.ANY.unconstrained.expressed_in_adrenal_gland.protein_coding
0.383535320290498	1.08535436294202	0.353373362088733	0.723808553263153	1	1	641	642	6	1	4687	4693	13	DEL.SINGLETON.ANY.unconstrained.expressed_in_adrenal_gland.dna_repair_genes
0.346070667591829	0.0830311942694239	4.16795965223481	0.0000307338318081355	171	3	496	646	909	4	3892	4699	1420	DEL.SINGLETON.ANY.unconstrained.ANY.protein_coding
0.384507624122782	0.788810352977582	0.487452557729944	0.625937655593553	2	1	640	642	10	1	4661	4671	15	DEL.SINGLETON.ANY.unconstrained.ANY.cosmic_cancer_genes
0.33407785249093	1.10911777988872	0.301210438195705	0.763254030707109	1	1	645	646	5	1	4694	4699	11	DEL.SINGLETON.ANY.unconstrained.ANY.germline_CPGs
1.55213611747579	0.754884224860275	2.05612472265278	0.0397704958053435	3	1	638	641	5	1	4680	4685	14	DEL.SINGLETON.ANY.unconstrained.ANY.dna_DSB_repair_genes
0.774648300669096	0.656634641715328	1.17972499691073	0.238109608601734	3	1	643	646	12	1	4687	4699	28	DEL.SINGLETON.ANY.unconstrained.ANY.dna_repair_genes
-0.990590192132451	1.35130152784397	-0.901610253440146	0.367263942328609	0	0	637	637	11	2	4651	4661	12	DEL.SINGLETON.ANY.unconstrained.ANY.signaling_transduction_by_receptor_tyrosine_kinases_genes
0.309241290141133	0.0687559874848662	4.49766342471919	0.00000687043468023851	227	10	465	646	1138	5	3726	4699	1837	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.protein_coding
0.189025224544018	0.40466025488957	0.467120806306027	0.640413448971749	7	1	639	646	44	2	4656	4699	69	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.cosmic_cancer_genes
0.114700345004091	0.596130935594618	0.192407973073369	0.847422647476455	3	1	642	645	22	2	4678	4699	31	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.germline_CPGs
0.675106436388636	0.718317328582312	0.939844285423327	0.347297439160839	2	1	636	638	7	2	4611	4617	11	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.base_excision_repair_genes
-0.467247044555707	0.706559006694496	-0.6612993962693	0.508420328574982	2	1	643	645	27	4	4671	4695	37	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.chromatin_organization_genes
1.10884093383732	0.473972514097126	2.33946252336923	0.0193115089602389	6	1	639	645	14	2	4686	4699	27	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.dna_DSB_repair_genes
0.578801323165236	0.387989960198317	1.49179458888418	0.135753002925385	8	1	638	646	34	2	4666	4699	55	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.dna_repair_genes
0.284713651307094	0.715086167625758	0.398152927852605	0.690517461734183	2	1	621	623	11	2	4589	4599	19	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.nucleotide_excision_repair_genes
0.205369926504242	0.771020052121385	0.266361329953984	0.789960943963392	2	1	679	681	12	1	4814	4826	18	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.oncogenic_MAPK_signaling_genes
0.0861567705878768	0.541787375811126	0.159023215442938	0.873650583290964	4	1	642	646	27	1	4672	4699	45	DEL.SINGLETON.ANY.ANY.expressed_in_adrenal_gland.signaling_transduction_by_receptor_tyrosine_kinases_genes
0.291674393687201	0.0467940716634035	6.23314841643311	0.00000000045715267242165	498	14	309	646	2589	5	2813	4699	4086	DEL.SINGLETON.ANY.ANY.ANY.protein_coding
0.528610637280971	0.269915039237547	1.95843343436581	0.0501791747655909	17	1	629	646	70	2	4631	4699	112	DEL.SINGLETON.ANY.ANY.ANY.cosmic_cancer_genes
0.267813284401976	0.473976931674934	0.565034427847745	0.572050347415734	5	1	641	646	30	2	4670	4699	46	DEL.SINGLETON.ANY.ANY.ANY.germline_CPGs
0.919895681424811	0.622648770724899	1.47739098617966	0.139570860976644	3	1	634	637	8	2	4527	4534	17	DEL.SINGLETON.ANY.ANY.ANY.base_excision_repair_genes
0.256041890326188	0.378561164188997	0.676355407123481	0.498815022283732	6	1	640	646	33	4	4669	4699	51	DEL.SINGLETON.ANY.ANY.ANY.chromatin_organization_genes
1.15595922332198	0.376201327016428	3.07271436942992	0.00212121415982809	10	1	636	646	24	2	4676	4699	45	DEL.SINGLETON.ANY.ANY.ANY.dna_DSB_repair_genes
1.50549430759188	0.640700144262268	2.34976427128072	0.0187853036806592	4	1	641	645	7	1	4689	4696	15	DEL.SINGLETON.ANY.ANY.ANY.dna_DSB_response_genes
0.61665906978365	0.32134402158653	1.91899966502909	0.0549843762402338	12	1	634	646	51	2	4649	4699	86	DEL.SINGLETON.ANY.ANY.ANY.dna_repair_genes
-0.67318322136546	1.55862468876923	-0.509097608700698	0.610683807894	0	0	646	646	8	1	4691	4699	12	DEL.SINGLETON.ANY.ANY.ANY.fanconi_genes
0.640768739926696	0.606666914686536	1.0562117768657	0.290871471471153	3	1	642	645	11	2	4688	4698	21	DEL.SINGLETON.ANY.ANY.ANY.nucleotide_excision_repair_genes
-0.0682733109360434	0.723654751925544	-0.0943451428383185	0.924834991011851	2	1	684	686	16	2	4815	4830	22	DEL.SINGLETON.ANY.ANY.ANY.oncogenic_MAPK_signaling_genes
-0.258650882319813	0.390271006508515	-0.66274685540641	0.507492695493915	7	1	639	646	62	3	4639	4699	90	DEL.SINGLETON.ANY.ANY.ANY.signaling_transduction_by_receptor_tyrosine_kinases_genes
-0.15258737950345	0.443234097474898	-0.344259118088475	0.730651426361816	4	1	684	688	37	2	4802	4830	14	CPX_or_INV.RARE.PREDICTED_COPY_GAIN.unconstrained.ANY.protein_coding
1.13786823699206	0.526869023440867	2.1596795149597	0.0307974880934231	5	1	683	688	11	2	4820	4830	16	CPX_or_INV.RARE.PREDICTED_COPY_GAIN.ANY.expressed_in_adrenal_gland.protein_coding
0.329178360874423	0.3137402015266	1.04920682549671	0.294082937917223	9	1	679	688	44	2	4795	4830	28	CPX_or_INV.RARE.PREDICTED_COPY_GAIN.ANY.ANY.protein_coding
0.0255450048068684	0.701796170442962	0.036399464520795	0.970963841148423	2	1	686	688	15	2	4817	4830	16	CPX_or_INV.RARE.PREDICTED_INTRAGENIC_EXON_DUP.ANY.expressed_in_adrenal_gland.protein_coding
-0.884396141128551	0.719883845770607	-1.22852616616482	0.219249512996148	2	1	686	688	38	2	4794	4830	32	CPX_or_INV.RARE.PREDICTED_INTRAGENIC_EXON_DUP.ANY.ANY.protein_coding
0.673376534585663	0.185905440438795	3.62214539282058	0.000292169820880506	36	2	649	681	124	2	4698	4819	64	DUP.RARE.PREDICTED_INTRAGENIC_EXON_DUP.lof_constrained.ANY.protein_coding
0.659901207500046	0.438467234575689	1.50501828976717	0.132319374567575	7	1	681	688	24	1	4802	4826	28	DUP.RARE.PREDICTED_INTRAGENIC_EXON_DUP.missense_constrained.expressed_in_adrenal_gland.protein_coding
