point_estimate	std_error	z_score	p_value	SV_counts_cases	SV_counts_cases_max	number_of_cases_with_zero_SVs	total_cases	SV_counts_controls	SV_counts_controls_max	number_of_controls_with_zero_SVs	total_controls	number_of_unique_SVs	category_name
0.277721948	0.05906601	4.701891094	2.57763E-06	334	5	439	688	1760	5	3454	4830	2594	ANY.SINGLETON.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_tad_boundary.ANY.ANY.ANY.protein_coding
0.355745478	0.078055033	4.557623836	5.17356E-06	201	3	516	688	971	3	3992	4830	1455	ANY.SINGLETON.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_tad_boundary.PREDICTED_INTERGENIC.ANY.ANY.protein_coding
0.255237384	0.057894858	4.408636513	1.04023E-05	349	5	428	688	1888	5	3377	4830	2772	ANY.SINGLETON.ANY.neuroblastoma_tad_boundary.ANY.ANY.ANY.protein_coding
0.316664982	0.073559614	4.304875531	1.6708E-05	218	4	513	685	1071	4	3920	4830	1592	DEL.SINGLETON.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_tad_boundary.ANY.ANY.ANY.protein_coding
0.317669476	0.074086273	4.287831759	1.80426E-05	217	4	476	646	1097	4	3773	4699	1696	DEL.SINGLETON.ANY.neuroblastoma_tad_boundary.ANY.ANY.ANY.protein_coding
0.314184216	0.075546516	4.158818076	3.19899E-05	212	3	505	685	1076	3	3916	4828	1604	ANY.SINGLETON.ANY.neuroblastoma_tad_boundary.PREDICTED_INTERGENIC.ANY.ANY.protein_coding
0.513135662	0.128461526	3.994469626	6.48392E-05	81	2	570	646	329	3	4381	4699	518	DEL.SINGLETON.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_tad_boundary.PREDICTED_INTERGENIC.ANY.expressed_in_adrenal_gland.protein_coding
0.483582982	0.125243297	3.861148596	0.000112855	85	2	567	646	354	3	4357	4699	552	DEL.SINGLETON.ANY.neuroblastoma_tad_boundary.PREDICTED_INTERGENIC.ANY.expressed_in_adrenal_gland.protein_coding
0.403548904	0.104649921	3.856179743	0.000115173	117	3	581	688	529	3	4336	4830	793	ANY.SINGLETON.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_tad_boundary.PREDICTED_INTERGENIC.ANY.expressed_in_adrenal_gland.protein_coding
0.377484755	0.098551608	3.830325682	0.000127974	128	3	571	687	580	3	4297	4830	881	DEL.SINGLETON.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_tad_boundary.ANY.ANY.expressed_in_adrenal_gland.protein_coding
0.373947506	0.098620022	3.791801088	0.000149559	125	3	539	646	594	3	4160	4699	936	DEL.SINGLETON.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_tad_boundary.PREDICTED_INTERGENIC.ANY.ANY.protein_coding
0.376726984	0.099797398	3.774917903	0.00016006	126	3	532	646	589	3	4156	4699	924	DEL.SINGLETON.ANY.neuroblastoma_tad_boundary.ANY.ANY.expressed_in_adrenal_gland.protein_coding
0.30013904	0.080629215	3.722460181	0.000197291	186	4	530	688	953	3	3996	4830	1409	ANY.SINGLETON.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_tad_boundary.ANY.ANY.expressed_in_adrenal_gland.protein_coding
0.347974391	0.094715515	3.673890077	0.000238886	134	3	533	646	654	3	4113	4699	1021	DEL.SINGLETON.ANY.neuroblastoma_tad_boundary.PREDICTED_INTERGENIC.ANY.ANY.protein_coding
-0.437559031	0.119810429	-3.652094681	0.00026011	75	2	617	688	845	4	4076	4830	386	INS_ALL.RARE.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_chromHMM15_Enh.PREDICTED_INTRONIC.ANY.ANY.protein_coding
-0.437559031	0.119810429	-3.652094681	0.00026011	75	2	617	688	845	4	4076	4830	386	INS_ALL.RARE.ANY.neuroblastoma_chromHMM15_Enh.PREDICTED_INTRONIC.ANY.ANY.protein_coding
0.20793014	0.058245636	3.569883619	0.00035714	338	5	391	646	1941	6	3185	4699	2994	ANY.SINGLETON.ANY.neuroblastoma_atac_peaks.ANY.ANY.ANY.protein_coding
-0.784319359	0.220580148	-3.55571145	0.000376958	22	2	666	686	345	2	4499	4830	137	INS_ALL.RARE.PREDICTED_NONCODING_BREAKPOINT.neuroblastoma_chromHMM15_Enh.PREDICTED_INTRONIC.lof_constrained.ANY.protein_coding
-0.784319359	0.220580148	-3.55571145	0.000376958	22	2	666	686	345	2	4499	4830	137	INS_ALL.RARE.ANY.neuroblastoma_chromHMM15_Enh.PREDICTED_INTRONIC.lof_constrained.ANY.protein_coding
0.363165508	0.102208718	3.553175471	0.00038061	122	3	576	687	576	3	4294	4830	857	ANY.SINGLETON.ANY.neuroblastoma_tad_boundary.PREDICTED_INTERGENIC.ANY.expressed_in_adrenal_gland.protein_coding
