name,gene,#chr,start,end,AF,rare,cases_0,cases_1,cases_2,controls_0,controls_1,controls_2,midpoint,AF_cases,AF_controls,p,coeff
PedSV.v2.3_DEL_chr2_2518,ALK,chr2,28718142,28718224,0.0009615379967726,True,445,2,0,2028,4,0,28718183.0,0.0022371364653243847,0.000984251968503937,0.2611909688888824,1.0342480717377118
PedSV.v2.3_DUP_chr2_970,ALK,chr2,28725522,28725714,7.396449655061588e-05,True,447,0,0,2032,0,0,28725618.0,0.0,0.0,1.0,0.0
PedSV.v2.3_INS_chr2_812,ALK,chr2,28750563,28750563,0.0002219589950982,True,447,0,0,2031,1,0,28750563.0,0.0,0.00024606299212598425,0.7946228399342092,-3.7011337532776483
PedSV.v2.3_DEL_chr2_2520,ALK,chr2,28762877,28763451,7.416200242005289e-05,True,445,0,0,2021,1,0,28763164.0,0.0,0.0002472799208704253,0.7934732469308778,-3.8065773405317347
PedSV.v2.3_DEL_chr2_2527,ALK,chr2,28841032,28841947,7.396449655061588e-05,True,447,0,0,2032,0,0,28841489.5,0.0,0.0,1.0,0.0
PedSV.v2.3_DEL_chr2_2528,ALK,chr2,28850858,28855418,7.396449655061588e-05,True,447,0,0,2031,1,0,28853138.0,0.0,0.00024606299212598425,0.7734569141070972,-3.830178662831401
PedSV.v2.3_DEL_chr2_2530,ALK,chr2,28852104,28852314,0.0003130380064249,True,439,0,0,1899,1,0,28852209.0,0.0,0.0002631578947368421,0.7785583667102791,-3.8302976708968495
PedSV.v2.3_DEL_chr2_2531,ALK,chr2,28852655,28856085,0.0001479289931012,True,447,0,0,2030,2,0,28854370.0,0.0,0.0004921259842519685,0.8308059752145829,-5.655993650191928
PedSV.v2.3_DEL_chr2_2532,ALK,chr2,28854715,28854777,0.0003698219952639,True,447,0,0,2031,1,0,28854746.0,0.0,0.00024606299212598425,0.7859020484442816,-3.861755756106562
PedSV.v2.3_DUP_chr2_971,ALK,chr2,28857579,28857677,0.0002218930021626,True,447,0,0,2031,1,0,28857628.0,0.0,0.00024606299212598425,0.8452977736489482,-2.7854080947533486
PedSV.v2.3_DEL_chr2_2536,ALK,chr2,28874575,28875434,7.396449655061588e-05,True,447,0,0,2031,1,0,28875004.5,0.0,0.00024606299212598425,0.7973810315581185,-3.7772424433406946
PedSV.v2.3_DEL_chr2_2537,ALK,chr2,28874720,28881889,0.0016277000540867,True,442,4,0,2023,9,0,28878304.5,0.004484304932735426,0.0022145669291338582,0.2941770813148332,0.634374990902337
PedSV.v2.3_DUP_chr2_973,ALK,chr2,28882564,28884019,7.587250001961365e-05,True,446,0,0,1961,1,0,28883291.5,0.0,0.00025484199796126404,0.7989524722774881,-4.186287428501283
PedSV.v2.3_DEL_chr2_2538,ALK,chr2,28883791,28894374,0.0002958579862024,True,446,1,0,2032,0,0,28889082.5,0.0011185682326621924,0.0,0.9651995374717032,13.592338691908266
PedSV.v2.3_DEL_chr2_2539,ALK,chr2,28892838,28893808,7.396449655061588e-05,True,447,0,0,2032,0,0,28893323.0,0.0,0.0,1.0,0.0
PedSV.v2.3_DUP_chr2_974,ALK,chr2,28895370,28895579,7.396449655061588e-05,True,447,0,0,2031,1,0,28895474.5,0.0,0.00024606299212598425,0.804427633732828,-3.7237149529781486
PedSV.v2.3_INS_chr2_814,ALK,chr2,28908217,28908217,7.396449655061588e-05,True,447,0,0,2031,1,0,28908217.0,0.0,0.00024606299212598425,0.7379530878503766,-3.2632010807507674
PedSV.v2.3_INS_chr2_815,ALK,chr2,28914635,28914635,0.0002219589950982,True,446,0,0,2032,0,0,28914635.0,0.0,0.0,1.0,0.0
PedSV.v2.3_DEL_chr2_2547,ALK,chr2,28926464,28929576,0.0003704800037667,True,446,0,0,2028,2,0,28928020.0,0.0,0.0004926108374384236,0.8474537477495023,-6.16673865617092
PedSV.v2.3_INS_chr2_816,ALK,chr2,28951816,28951816,0.0002959019911941,True,445,1,0,2029,3,0,28951816.0,0.0011210762331838565,0.0007381889763779527,0.7800290110928393,0.323427565833609
PedSV.v2.3_DEL_chr2_2551,ALK,chr2,28969273,28969331,7.396449655061588e-05,True,447,0,0,2032,0,0,28969302.0,0.0,0.0,1.0,0.0
PedSV.v2.3_INS_chr2_817,ALK,chr2,28973383,28973383,0.0323950015008449,False,397,28,0,1801,113,0,28973383.0,0.03294117647058824,0.029519331243469175,0.33391935485499313,0.215722417672615
PedSV.v2.3_DUP_chr2_977,ALK,chr2,28983101,28983236,0.087721899151802,False,419,28,0,1659,373,0,28983168.5,0.03131991051454139,0.09178149606299213,9.322477232485805e-09,-1.1762255823246601
PedSV.v2.3_DEL_chr2_2553,ALK,chr2,28985105,28989661,0.0005177509738132,True,447,0,0,2031,1,0,28987383.0,0.0,0.00024606299212598425,0.7935208924499255,-3.7389642332279824
PedSV.v2.3_DEL_chr2_2554,ALK,chr2,28985451,28986111,7.398639718303457e-05,True,447,0,0,2029,1,0,28985781.0,0.0,0.0002463054187192118,0.7873933863067324,-3.659767132837254
PedSV.v2.3_DUP_chr2_978,ALK,chr2,29004821,29006237,0.0002218930021626,True,447,0,0,2032,0,0,29005529.0,0.0,0.0,1.0,0.0
PedSV.v2.3_DUP_chr2_979,ALK,chr2,29005153,29006126,0.0002220250025857,True,447,0,0,2031,0,0,29005639.5,0.0,0.0,1.0,0.0
PedSV.v2.3_DEL_chr2_2556,ALK,chr2,29005312,29005485,7.515410106861964e-05,True,444,0,0,1986,0,0,29005398.5,0.0,0.0,,0.0
PedSV.v2.3_DUP_chr2_980,ALK,chr2,29014442,29014522,7.396449655061588e-05,True,447,0,0,2031,1,0,29014482.0,0.0,0.00024606299212598425,0.7792977114116466,-4.158568416392431
PedSV.v2.3_DEL_chr2_2560,ALK,chr2,29028244,29028426,7.400829781545326e-05,True,445,0,0,2031,1,0,29028335.0,0.0,0.00024606299212598425,0.7535349427378958,-2.9494044261344055
PedSV.v2.3_DEL_chr2_2561,ALK,chr2,29034894,29035151,0.0002303789951838,True,438,0,0,1910,2,0,29035022.5,0.0,0.0005230125523012552,0.8644692048036866,-6.572482419393536
PedSV.v2.3_DUP_chr2_981,ALK,chr2,29085659,29085712,0.0564348995685577,False,438,9,0,1692,331,9,29085685.5,0.010067114093959731,0.0858759842519685,1.6052027668853357e-11,-2.314891756436418
PedSV.v2.3_DEL_chr2_2565,ALK,chr2,29085934,29086010,0.0030325399711728,True,443,4,0,2012,20,0,29085972.0,0.0044742729306487695,0.004921259842519685,0.44045201024241265,0.44948203889704574
PedSV.v2.3_INS_chr2_819,ALK,chr2,29088218,29088218,7.396449655061588e-05,True,447,0,0,2031,1,0,29088218.0,0.0,0.00024606299212598425,0.7853661297081462,-3.9109994888167727
PedSV.v2.3_DUP_chr2_983,ALK,chr2,29115254,29115449,7.399729656754062e-05,True,446,1,0,2032,0,0,29115351.5,0.0011185682326621924,0.0,0.9657659976655395,12.819614921693894
PedSV.v2.3_INS_chr2_822,ALK,chr2,29183510,29183510,7.396449655061588e-05,True,447,0,0,2031,1,0,29183510.0,0.0,0.00024606299212598425,0.7920567308881636,-3.985433592545326
PedSV.v2.3_DEL_chr2_2566,ALK,chr2,29200016,29200127,0.005127060227096,True,437,6,0,2003,24,0,29200071.5,0.006772009029345372,0.0059200789343857915,0.8852021965148323,0.06651592860057101
PedSV.v2.3_DUP_chr2_986,ALK,chr2,29200710,29200782,0.1686390042304992,False,336,111,0,1325,707,0,29200746.0,0.12416107382550336,0.17396653543307086,2.172322382847238e-05,-0.5096846715852442
PedSV.v2.3_DEL_chr2_2568,ALK,chr2,29216796,29217404,0.0530426986515522,False,180,237,13,2031,0,0,29217100.0,0.3058139534883721,0.0,0.9999807547366766,263.45424794583107
PedSV.v2.3_DEL_chr2_2569,ALK,chr2,29216935,29217097,0.0001634249929338,True,427,0,0,1688,1,0,29217016.0,0.0,0.0002960331557134399,0.7995603032289099,-4.566771585047697
PedSV.v2.3_DEL_chr2_2570,ALK,chr2,29234953,29235649,7.396449655061588e-05,True,447,0,0,2031,1,0,29235301.0,0.0,0.00024606299212598425,0.790538092151674,-3.766552658175862
